"","","GR19-MIT5","IS19-13","IS19-14"
"636","Bacteria;Armatimonadota;Armatimonadia;Armatimonadales;metagenome",45,3,3
"637","Bacteria;Armatimonadota;Armatimonadia;Armatimonadales;uncultured Armatimonadetes bacterium",80,9,36
"638","Bacteria;Armatimonadota;Armatimonadia;Armatimonadales;uncultured bacterium",17892,742,321
"639","Bacteria;Armatimonadota;Armatimonadia;Armatimonadales;uncultured Chloroflexi bacterium",109,NA,2
"640","Bacteria;Armatimonadota;Armatimonadia;Armatimonadales;uncultured eubacterium WD294",11,NA,NA
"641","Bacteria;Armatimonadota;Armatimonadia;Armatimonadales;uncultured soil bacterium",347,NA,NA
"642","Bacteria;Armatimonadota;Chthonomonadetes;Chthonomonadales;Chthonomonadaceae;Chthonomonas;uncultured Armatimonadetes bacterium",NA,NA,6
"643","Bacteria;Armatimonadota;Chthonomonadetes;Chthonomonadales;Chthonomonadaceae;Chthonomonas;uncultured bacterium",279,26,184
"644","Bacteria;Armatimonadota;Chthonomonadetes;Chthonomonadales;uncultured bacterium",10,NA,4
"645","Bacteria;Armatimonadota;Chthonomonadetes;Chthonomonadales;uncultured Lutispora sp.",1,NA,NA
"646","Bacteria;Armatimonadota;uncultured;Armatimonadetes bacterium DC",1,NA,NA
"647","Bacteria;Armatimonadota;uncultured;uncultured Armatimonadetes bacterium",NA,NA,1
"648","Bacteria;Armatimonadota;uncultured;uncultured bacterium",NA,NA,3
"649","Bacteria;Armatimonadota;uncultured;uncultured bacterium SJA-171",1,NA,NA
"650","Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidetes BD2-2;uncultured bacterium",2,NA,NA
"651","Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidetes vadinHA17;uncultured Sphingobacteriia bacterium",NA,NA,2
"652","Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae;Paludibacter;uncultured bacterium",NA,NA,4
"653","Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;BSV13;uncultured bacterium",NA,NA,6
"654","Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;WCHB1-32;uncultured bacterium",NA,NA,23
"655","Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;WCHB1-32;uncultured Bacteroidetes bacterium",NA,NA,1
"656","Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;uncultured bacterium",NA,4,NA
"657","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Aurantisolimonas;uncultured bacterium",NA,22,NA
"658","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Edaphobaculum;Chitinophagaceae bacterium",NA,2,NA
"659","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Edaphobaculum;metagenome",2,NA,NA
"660","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;Hypsibius dujardini",NA,2,NA
"661","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;metagenome",167,17,2
"662","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;uncultured bacterium",1992,3436,335
"663","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;uncultured bacterium GKS2-106",16,NA,2
"664","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;uncultured Bacteroidetes bacterium",611,470,35
"665","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;uncultured Chitinophagaceae bacterium",7,NA,NA
"666","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;uncultured Ferruginibacter sp.",10,NA,NA
"667","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Flavisolibacter;Flavisolibacter tropicus",NA,6,NA
"668","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Flavisolibacter;uncultured microorganism",23,NA,NA
"669","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Flavitalea;metagenome",9,4,NA
"670","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Flavitalea;uncultured bacterium",10,NA,NA
"671","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Heliimonas;metagenome",7,NA,NA
"672","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Parafilimonas;uncultured bacterium",8,NA,NA
"673","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Parasediminibacterium;Sediminibacterium sp. MIC4028",NA,4,4
"674","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Parasediminibacterium;uncultured bacterium",NA,NA,8
"675","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Parasediminibacterium;uncultured bacterium FukuS59",NA,NA,4
"676","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Pseudoflavitalea;metagenome",2,NA,NA
"677","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Pseudoflavitalea;Pseudoflavitalea sp. 5GH32-13",16,NA,NA
"678","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Puia;metagenome",NA,NA,2
"679","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Puia;uncultured bacterium",31,16,4
"680","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Terrimonas;uncultured Terrimonas sp.",1,NA,NA
"681","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Thermoflavifilum;Bacteroidetes bacterium K3",1,NA,NA
"682","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Thermoflavifilum;Chitinophagaceae bacterium NYFB",1,8,2
"683","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Thermoflavifilum;uncultured bacterium",NA,4,2
"684","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;uncultured Bacteroidales bacterium",NA,12,4
"685","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;uncultured;metagenome",15,NA,NA
"686","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;uncultured;uncultured bacterium",35,7,NA
"687","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;uncultured;uncultured Bacteroidetes bacterium",13,6,1
"688","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;uncultured;uncultured Ferruginibacter sp.",NA,NA,1
"689","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;uncultured;uncultured soil bacterium",19,3,2
"690","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Haliscomenobacter;uncultured bacterium",1,NA,NA
"691","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Membranicola;uncultured Sphingobacteriia bacterium",1,NA,NA
"692","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Phaeodactylibacter;uncultured bacterium",1,NA,NA
"693","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;metagenome",14,NA,NA
"694","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;uncultured bacterium",86,NA,12
"695","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;uncultured Sphingobacteriia bacterium",339,NA,90
"696","Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;uncultured;uncultured bacterium",1,NA,NA
"697","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Algoriphagus;uncultured bacterium",1,NA,NA
"698","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Persicobacter sp. JZB09",1,NA,NA
"699","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;uncultured;uncultured bacterium",1,NA,NA
"700","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cytophagaceae;Cytophaga;uncultured bacterium",8,NA,NA
"701","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cytophagaceae;Rhodocytophaga;uncultured bacterium",1,NA,NA
"702","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Adhaeribacter;metagenome",31,NA,NA
"703","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Adhaeribacter;uncultured bacterium",NA,5,NA
"704","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Bacteroidetes bacterium P3",NA,39,NA
"705","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Cytophagales bacterium MC1A",15,NA,NA
"706","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Flexibacteraceae bacterium VUG-A32a",25,NA,4
"707","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter bucti",77,NA,2
"708","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter fastidiosus",1,NA,NA
"709","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter gelipurpurascens",10,NA,NA
"710","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter glacieicola",12,NA,NA
"711","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter lapidarius",262,463,4
"712","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter nivis",379,363,NA
"713","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter profundi",1,NA,NA
"714","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter psychrophilus",NA,4,NA
"715","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter rufus",NA,7,NA
"716","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sedentarius",307,191,10
"717","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sp.",134,313,2
"718","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sp. 1004",28,60,2
"719","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sp. 1018",29,NA,1
"720","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sp. APR13",NA,9,NA
"721","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sp. BSw20462",2,NA,NA
"722","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sp. C1008",NA,15,NA
"723","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sp. IS2118",376,18,6
"724","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sp. MD1",11,55,2
"725","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sp. MIC2056",2,NA,NA
"726","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sp. PAMC 26554",9,NA,NA
"727","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sp. PAMC 26628",46,NA,NA
"728","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sp. R-36374",10,NA,NA
"729","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sp. R-36490",277,NA,NA
"730","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sp. R-36499",10,NA,NA
"731","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sp. R-36548",NA,NA,4
"732","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sp. R-36692",8,NA,NA
"733","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sp. R-36960",199,28,2
"734","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sp. R-37569",93,179,2
"735","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sp. R-38500",2,NA,NA
"736","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sp. R-42743",52,NA,NA
"737","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sp. TMT1-67",50,120,NA
"738","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sp. tsz18",8,NA,NA
"739","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter swuensis DY53",10,NA,2
"740","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter terrae",1,181,NA
"741","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter terrigena",NA,19,NA
"742","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Macrotyloma uniflorum",27,NA,NA
"743","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Siccationidurans antarcticus",28,NA,NA
"744","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Siccationidurans metalli",12,NA,NA
"745","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;Thymallus thymallus (grayling)",49,NA,NA
"746","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;uncultured bacterium",4169,4262,178
"747","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;uncultured Bacteroidetes bacterium",1597,167,7
"748","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;uncultured Hymenobacter group bacterium",7,NA,NA
"749","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;uncultured Hymenobacter sp.",22,NA,NA
"750","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Microscillaceae;uncultured;uncultured bacterium",8,NA,3
"751","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;MWH-CFBk5;uncultured bacterium",1,NA,NA
"752","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Arcicella;Arcicella aquatica",NA,NA,5
"753","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Arcicella;uncultured bacterium",14,NA,16
"754","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Arcicella;uncultured bacterium GKS2-216",NA,NA,3
"755","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Dyadobacter;uncultured bacterium",7,NA,NA
"756","Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Fibrella;uncultured bacterium",1,NA,NA
"757","Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Fluviicola;uncultured bacterium",7,NA,NA
"758","Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;env.OPS 17;uncultured bacterium",40,232,132
"759","Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;FFCH9454;metagenome",NA,NA,2
"760","Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;Lentimicrobium;uncultured Bacteroidetes bacterium",2,NA,2
"761","Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;uncultured bacterium",NA,NA,6
"762","Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;metagenome",7,NA,NA
"763","Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;Mucilaginibacter paludis DSM 18603",2,NA,NA
"764","Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;uncultured Mucilaginibacter sp.",1,NA,NA
"765","Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Nubsella;uncultured Sphingobacterium sp.",2,NA,NA
"766","Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;Antarctic bacterium GA028",NA,NA,2
"767","Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;metagenome",24,NA,NA
"768","Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;uncultured Bacteroidetes bacterium",2,NA,NA
"769","Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Solitalea;uncultured bacterium",741,85,15
"770","Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Solitalea;uncultured Bacteroidetes bacterium",787,7,3
"771","Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;Sphingobacterium psychroaquaticum",1,NA,NA
"772","Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;Sphingobacterium rhinocerotis",1,NA,NA
"773","Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;Sphingobacterium spiritivorum ATCC 33861",1,NA,NA
"774","Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;uncultured bacterium",1,NA,NA
"775","Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;uncultured Sphingobacterium sp.",1,NA,NA
"776","Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;uncultured bacterium",2,NA,NA
"777","Bacteria;Bacteroidota;Ignavibacteria;Ignavibacteriales;PHOS-HE36;uncultured cyanobacterium",1,NA,NA
"778","Bacteria;Bacteroidota;Kapabacteria;Kapabacteriales;Bacteroidetes bacterium enrichment culture clone phylotype P11",NA,38,18
"779","Bacteria;Bacteroidota;Kapabacteria;Kapabacteriales;uncultured bacterium",NA,33,18
"780","Bacteria;Bacteroidota;Kapabacteria;Kapabacteriales;uncultured Bacteroidetes bacterium",16,295,172
"781","Bacteria;Bacteroidota;Rhodothermia;Rhodothermales;Rhodothermaceae;Rhodothermus;Rhodothermus profundi",1,NA,NA
"782","Bacteria;Bacteroidota;Rhodothermia;Rhodothermales;Rhodothermaceae;Rhodothermus;uncultured bacterium",2,NA,NA
"783","Bacteria;Bacteroidota;Rhodothermia;Rhodothermales;Rhodothermaceae;uncultured;uncultured bacterium",NA,NA,2
"784","Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio;Bdellovibrio bacteriovorus",1,NA,NA
"785","Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio;Bdellovibrionales bacterium RIFCSPHIGHO2_01_FULL_40_29",19,NA,10
"786","Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio;metagenome",7,NA,2
"787","Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio;uncultured bacterium",83,NA,4
"788","Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio;unidentified",16,NA,2
"789","Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;OM27 clade;uncultured Myxococcales bacterium",NA,NA,2
"790","Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;Geobacter sp. enrichment culture clone VanCtr1",NA,NA,4
"791","Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;metagenome",7,NA,2
"792","Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;uncultured Bacteriovorax sp.",10,NA,NA
"793","Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;uncultured bacterium",98,NA,9
"794","Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;uncultured delta proteobacterium",194,NA,NA
"795","Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;uncultured microorganism",NA,NA,1
"796","Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;uncultured soil bacterium",1,NA,NA
"797","Bacteria;Bdellovibrionota;Oligoflexia;Oligoflexales;Oligoflexaceae;uncultured;uncultured bacterium",NA,NA,2
"798","Bacteria;Bdellovibrionota;Oligoflexia;Silvanigrellales;Silvanigrellaceae;uncultured;uncultured bacterium",NA,NA,4
"799","Bacteria;Caldatribacteriota;JS1;uncultured bacterium",14,NA,NA
"800","Bacteria;Caldatribacteriota;JS1;uncultured Candidatus Atribacteria bacterium",9,NA,NA
"801","Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter coli LMG 9860",1,NA,NA
"802","Bacteria;Campylobacterota;Desulfurellia;Desulfurellales;uncultured;uncultured bacterium",1,NA,NA
"803","Bacteria;Chloroflexi;AD3;uncultured Chloroflexi bacterium",9,NA,NA
"804","Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea;uncultured Anaerolineaceae bacterium",NA,NA,1
"805","Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Leptolinea;metagenome",NA,NA,12
"806","Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Leptolinea;uncultured bacterium SJA-108",NA,NA,2
"807","Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Leptolinea;uncultured soil bacterium",NA,NA,1
"808","Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured bacterium",NA,NA,2
"809","Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;uncultured;metagenome",1,NA,NA
"810","Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;uncultured bacterium",1,NA,NA
"811","Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Roseiflexaceae;uncultured;uncultured bacterium",2,4,NA
"812","Bacteria;Chloroflexi;Chloroflexia;Elev-1554;uncultured bacterium",719,28,33
"813","Bacteria;Chloroflexi;Chloroflexia;Thermomicrobiales;AKYG1722;uncultured bacterium",NA,NA,2
"814","Bacteria;Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;bacterium Ellin6537",NA,5,8
"815","Bacteria;Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;metagenome",NA,3,58
"816","Bacteria;Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;uncultured anaerobic ammonium-oxidizing bacterium",2,NA,NA
"817","Bacteria;Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;uncultured bacterium",18,4,38
"818","Bacteria;Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;uncultured Chloroflexi bacterium",40,NA,17
"819","Bacteria;Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;uncultured endolithic bacterium",41,10,18
"820","Bacteria;Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;uncultured Sphaerobacter sp.",NA,4,2
"821","Bacteria;Chloroflexi;Dehalococcoidia;S085;uncultured bacterium",16,NA,NA
"822","Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;uncultured bacterium",NA,NA,2
"823","Bacteria;Chloroflexi;JG30-KF-CM66;uncultured Anaerolineales bacterium",NA,NA,1
"824","Bacteria;Chloroflexi;JG30-KF-CM66;uncultured bacterium",13,NA,7
"825","Bacteria;Chloroflexi;KD4-96;uncultured bacterium",NA,NA,13
"826","Bacteria;Chloroflexi;KD4-96;uncultured Chloroflexi bacterium",NA,NA,1
"827","Bacteria;Chloroflexi;Ktedonobacteria;C0119;uncultured bacterium",7,NA,NA
"828","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;1921-3;uncultured Ktedonobacterales bacterium",NA,NA,2
"829","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;FCPS473;uncultured Ktedobacteria bacterium",7,NA,NA
"830","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;HSB OF53-F07;uncultured bacterium",NA,NA,2
"831","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;HSB OF53-F07;uncultured Ktedonobacter sp.",NA,NA,2
"832","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;JG30a-KF-32;uncultured bacterium",1,NA,NA
"833","Bacteria;Chloroflexi;OLB14;metagenome",NA,NA,2
"834","Bacteria;Chloroflexi;OLB14;uncultured bacterium",NA,NA,4
"835","Bacteria;Chloroflexi;P2-11E;uncultured bacterium",NA,NA,2
"836","Bacteria;Chloroflexi;TK10;metagenome",14,NA,NA
"837","Bacteria;Chloroflexi;TK10;uncultured bacterium",NA,6,2
"838","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Aneura mirabilis",11,NA,NA
"839","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Angiopteris evecta",12,NA,NA
"840","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Ankyra judayi",9,NA,NA
"841","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Aphyllon fasciculatum",10,NA,NA
"842","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Apopellia endiviifolia",21,NA,NA
"843","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Athetis lepigone",1,NA,NA
"844","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Azolla filiculoides",9,NA,2
"845","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Betula pendula (European white birch)",1,NA,NA
"846","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Bostrychia tenella",1,NA,NA
"847","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Botrychium ternatum",1,NA,NA
